#,Name,Class,Position,Height,Hometown,High School,team_id,team_name,conference_name,school_url,school_athletic_url,state,division,year,team_short,conference_short
5,De’Andrae Taylor,Sr.,MB,6-3,,,55,Benedict College,Southern Intercol. Ath. Conf.,www.benedict.edu,benedicttigers.com,SC,D-I,2024-25,Benedict,SIAC
10,Zion Beckford,Sr.,RS,6-4,,,55,Benedict College,Southern Intercol. Ath. Conf.,www.benedict.edu,benedicttigers.com,SC,D-I,2024-25,Benedict,SIAC
15,Clint Forbes,Sr.,L/DS,5-7,,,55,Benedict College,Southern Intercol. Ath. Conf.,www.benedict.edu,benedicttigers.com,SC,D-I,2024-25,Benedict,SIAC
17,Hakan Godoy,So.,MB,6-2,,,55,Benedict College,Southern Intercol. Ath. Conf.,www.benedict.edu,benedicttigers.com,SC,D-I,2024-25,Benedict,SIAC
16,Jared Brown,So.,MB,6-4,,,55,Benedict College,Southern Intercol. Ath. Conf.,www.benedict.edu,benedicttigers.com,SC,D-I,2024-25,Benedict,SIAC
13,Jaiden Romes-Crawley,So.,RS,6-2,,,55,Benedict College,Southern Intercol. Ath. Conf.,www.benedict.edu,benedicttigers.com,SC,D-I,2024-25,Benedict,SIAC
14,Camron Petillo,So.,OH,5-10,,,55,Benedict College,Southern Intercol. Ath. Conf.,www.benedict.edu,benedicttigers.com,SC,D-I,2024-25,Benedict,SIAC
11,Jackson Fehring Terrell,Jr.,RS,6-5,,,55,Benedict College,Southern Intercol. Ath. Conf.,www.benedict.edu,benedicttigers.com,SC,D-I,2024-25,Benedict,SIAC
5,Max Barbeau,Jr.,L,-,,,296,Benedictine University (Illinois),Northern Athletics Collegiate Conference,www.ben.edu,www.benueagles.com,IL,D-III,2024-25,Benedictine (IL),NACC
17,Eoin O'Toole,Jr.,MB,6-7,,,296,Benedictine University (Illinois),Northern Athletics Collegiate Conference,www.ben.edu,www.benueagles.com,IL,D-III,2024-25,Benedictine (IL),NACC
4,Zander Feudner,Jr.,L,5-9,,,296,Benedictine University (Illinois),Northern Athletics Collegiate Conference,www.ben.edu,www.benueagles.com,IL,D-III,2024-25,Benedictine (IL),NACC
12,Brayden Rice,Jr.,OH,6-2,,,296,Benedictine University (Illinois),Northern Athletics Collegiate Conference,www.ben.edu,www.benueagles.com,IL,D-III,2024-25,Benedictine (IL),NACC
1,Jordan Cardenas,Jr.,L/DS,6-0,,,296,Benedictine University (Illinois),Northern Athletics Collegiate Conference,www.ben.edu,www.benueagles.com,IL,D-III,2024-25,Benedictine (IL),NACC
7,Trace Samaras,Jr.,DB,5-10,,,296,Benedictine University (Illinois),Northern Athletics Collegiate Conference,www.ben.edu,www.benueagles.com,IL,D-III,2024-25,Benedictine (IL),NACC
22,Tommy Vlahos,So.,MH,6-6,,,296,Benedictine University (Illinois),Northern Athletics Collegiate Conference,www.ben.edu,www.benueagles.com,IL,D-III,2024-25,Benedictine (IL),NACC
25,Anthony Dobie,So.,OH,-,,,296,Benedictine University (Illinois),Northern Athletics Collegiate Conference,www.ben.edu,www.benueagles.com,IL,D-III,2024-25,Benedictine (IL),NACC
6,Shawn Sullivan,So.,MH,6-8,,,296,Benedictine University (Illinois),Northern Athletics Collegiate Conference,www.ben.edu,www.benueagles.com,IL,D-III,2024-25,Benedictine (IL),NACC
3,Spencer VanEngen,So.,S,-,,,296,Benedictine University (Illinois),Northern Athletics Collegiate Conference,www.ben.edu,www.benueagles.com,IL,D-III,2024-25,Benedictine (IL),NACC
14,Chris Radomski,So.,OH,6-4,,,296,Benedictine University (Illinois),Northern Athletics Collegiate Conference,www.ben.edu,www.benueagles.com,IL,D-III,2024-25,Benedictine (IL),NACC
18,Tucker Lambert,So.,OH,6-6,,,296,Benedictine University (Illinois),Northern Athletics Collegiate Conference,www.ben.edu,www.benueagles.com,IL,D-III,2024-25,Benedictine (IL),NACC
15,Jacob Thomas,Jr.,OH,6-5,,,296,Benedictine University (Illinois),Northern Athletics Collegiate Conference,www.ben.edu,www.benueagles.com,IL,D-III,2024-25,Benedictine (IL),NACC
11,Quincy Shelley,So.,OH,5-10,,,296,Benedictine University (Illinois),Northern Athletics Collegiate Conference,www.ben.edu,www.benueagles.com,IL,D-III,2024-25,Benedictine (IL),NACC
12,McKay Ginez,So.,MB,6-3,,,59,Bethany College (West Virginia),Presidents' Athletic Conference,www.bethanywv.edu,bethanybison.com,WV,D-III,2024-25,Bethany (WV),PAC
15,Tyler Johnson,So.,OH,6-2,,,59,Bethany College (West Virginia),Presidents' Athletic Conference,www.bethanywv.edu,bethanybison.com,WV,D-III,2024-25,Bethany (WV),PAC
5,Alexander Blair,So.,S,-,,,59,Bethany College (West Virginia),Presidents' Athletic Conference,www.bethanywv.edu,bethanybison.com,WV,D-III,2024-25,Bethany (WV),PAC
10,Isiah Heverling,So.,RS,-,,,59,Bethany College (West Virginia),Presidents' Athletic Conference,www.bethanywv.edu,bethanybison.com,WV,D-III,2024-25,Bethany (WV),PAC
1,Gabe Dombroff,So.,MB,6-0,,,59,Bethany College (West Virginia),Presidents' Athletic Conference,www.bethanywv.edu,bethanybison.com,WV,D-III,2024-25,Bethany (WV),PAC
8,James Lucht,So.,OH,6-0,,,59,Bethany College (West Virginia),Presidents' Athletic Conference,www.bethanywv.edu,bethanybison.com,WV,D-III,2024-25,Bethany (WV),PAC
11,Leonardo Locatelli,Sr.,L,-,,,59,Bethany College (West Virginia),Presidents' Athletic Conference,www.bethanywv.edu,bethanybison.com,WV,D-III,2024-25,Bethany (WV),PAC
24,Rylan Trapp,So.,MB,6-3,,,59,Bethany College (West Virginia),Presidents' Athletic Conference,www.bethanywv.edu,bethanybison.com,WV,D-III,2024-25,Bethany (WV),PAC
15,Bernardo Adam,Jr.,OH,6-3,"Itajaí, Brazil",Colégio de Aplicação Univali - Itajaí,77,Brigham Young University,Mountain Pacific Sports Federation,www.byu.edu,byucougars.com,UT,D-I,2024-25,BYU,MPSF
23,Miks Ramanis,Sr.,OH,6-4,"Walnut Creek, CA",Northgate High School,77,Brigham Young University,Mountain Pacific Sports Federation,www.byu.edu,byucougars.com,UT,D-I,2024-25,BYU,MPSF
21,Teon Taylor,Sr.,OH,6-6,"Las Vegas, NV",Centennial High School,77,Brigham Young University,Mountain Pacific Sports Federation,www.byu.edu,byucougars.com,UT,D-I,2024-25,BYU,MPSF
6,Jackson Fife,Jr.,L,6-0,"Las Vegas, NV",Palo Verde High School,77,Brigham Young University,Mountain Pacific Sports Federation,www.byu.edu,byucougars.com,UT,D-I,2024-25,BYU,MPSF
7,Noa Haine,Sr.,S,6-3,"Honolulu, HI",Punahou School,77,Brigham Young University,Mountain Pacific Sports Federation,www.byu.edu,byucougars.com,UT,D-I,2024-25,BYU,MPSF
1,Luke Benson,Sr.,OH,6-7,"Newbury Park, CA",Newbury Park High School,77,Brigham Young University,Mountain Pacific Sports Federation,www.byu.edu,byucougars.com,UT,D-I,2024-25,BYU,MPSF
11,Jared Brady,Jr.,OH,6-4,"Las Vegas, NV",Palo Verde High School,77,Brigham Young University,Mountain Pacific Sports Federation,www.byu.edu,byucougars.com,UT,D-I,2024-25,BYU,MPSF
