"09/19/2024 08:00 PM","University of Alabama at Birmingham","University of South Alabama","Bartow Arena"
"09/20/2024 08:00 PM","University of Alabama at Birmingham","Auburn University","Bartow Arena"
"09/21/2024 06:00 PM","University of Alabama at Birmingham","Samford University","Bartow Arena"
"09/27/2024 08:00 PM","University of Alabama at Birmingham","The University of Tulsa","Bartow Arena"
"09/29/2024 02:00 PM","University of Memphis","University of Alabama at Birmingham","Larry O. Finch Center"
"10/02/2024 07:30 PM","Tulane University","University of Alabama at Birmingham","Avron B. Fogelman Arena in Devlin Fieldhouse"
"10/04/2024 08:00 PM","University of Alabama at Birmingham","Wichita State University","Bartow Arena"
"10/11/2024 08:00 PM","University of Alabama at Birmingham","Temple University","Bartow Arena"
"10/13/2024 02:00 PM","University of Alabama at Birmingham","The University of North Carolina at Charlotte","Bartow Arena"
"10/18/2024 05:00 PM","University of Texas at San Antonio","University of Alabama at Birmingham","Convocation Center"
"10/20/2024 02:00 PM","University of Alabama at Birmingham","Tulane University","Bartow Arena"
"10/25/2024 07:30 PM","The University of Tulsa","University of Alabama at Birmingham","Donald W. Reynolds Center"
"10/27/2024 02:00 PM","Wichita State University","University of Alabama at Birmingham","Charles Koch Arena"
"11/01/2024 08:00 PM","University of Alabama at Birmingham","University of North Texas","Bartow Arena"
"11/03/2024 02:00 PM","University of Alabama at Birmingham","East Carolina University","Bartow Arena"
"11/06/2024 08:00 PM","University of Alabama at Birmingham","University of Memphis","Bartow Arena"
"11/10/2024 TBA","Rice University","University of Alabama at Birmingham","Tudor Fieldhouse"
"11/15/2024 06:00 PM","Florida Atlantic University","University of Alabama at Birmingham","Abessinio Court at Eleanor R. Baldwin Arena"
"11/17/2024 11:00 AM","University of South Florida","University of Alabama at Birmingham","The USF Corral"
"08/29/2024 06:00 PM","Chaminade University","University of Alaska Anchorage","McCabe Gym"
